GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petshop,epam.progkor.petshop.service.impl,PetShopServiceImpl,69,41,0,0,20,6,8,2,8,2
petshop,epam.progkor.petshop,PetshopApplication,5,3,0,0,2,1,1,1,1,1
